borrower_id,avg_monthly_income,income_volatility,cvd_residual_variance,liquidity_buffer_weeks,expense_income_ratio,round_trip_count,dormancy_score,weekly_std_ratio,festival_uplift_ratio
01011781-bef7-46cb-be9a-b375660f1a31,12154.33,0.4218,0.7594,0.14,2.91,0,0.7248,0.8261,0.1302
01ff4c73-103d-4010-b24a-093f594e9579,13955.02,0.3832,0.611,0.13,2.8188,0,0.7041,1.0972,0.1152
0260421f-0671-4563-ae06-1e0dbde7aea3,12459.5,0.2927,0.2673,0.1,2.5873,0,0.9767,0.883,0.1145
0277a2ba-e445-4eba-ad38-8d68bececd9c,21369.83,0.4077,1.3514,0.12,2.7786,0,0.9765,0.8711,0.1137
0337948a-656b-477f-9c33-a314b9971253,52680.51,0.1659,0.9525,0.28,1.9035,45,0.985,1.2698,0.0806
036db03c-0eb4-4c71-aa23-d6aa09b86f17,14770.71,0.3954,1.3236,0.14,2.8732,0,0.9756,1.2586,0.0958
03779999-7d06-46cb-b5ae-a7c4e80d25c8,6477.94,0.3871,0.4122,0.17,2.2933,0,0.9791,0.9032,0.1337
038ddebe-1b6c-4e32-b6f5-b1df16a74373,12541.28,0.516,0.9099,0.17,2.9332,0,0.9756,1.1154,0.1702
04b8abbe-c751-4a17-8a12-d58f16e52f6d,12572.86,0.4644,0.4549,0.09,3.1104,0,0.9784,1.4709,0.1173
057d35e8-66d0-4fc1-be9a-32696b4fce00,3621.77,0.4422,0.2338,0.09,3.7385,0,0.9721,1.0263,0.14
06f9c0d4-90a9-4442-8a73-feca446207f1,14754.33,0.4234,0.5237,0.04,2.8701,0,0.9797,0.936,0.104
06f9f01c-ec62-40bc-9feb-5d208f8384be,14802.5,0.393,0.3188,0.16,3.3607,0,0.979,0.9852,0.1092
070f980e-1e23-4fef-ba87-8826c4a4c1b7,19530.21,0.3472,0.4546,0.08,2.944,0,0.9763,0.7521,0.1398
078501db-bc17-47b4-883b-b6473be40936,11612.79,0.4319,1.3141,0.16,2.5734,0,0.9818,0.7089,0.1533
07d514a5-7bc0-4ab3-98b5-6f80c54a36e7,11354.19,0.3709,0.5487,0.14,2.8018,0,0.9789,1.3726,0.1452
086feceb-3e57-485c-a5b7-864b69150939,4004.43,0.3731,0.2801,0.46,2.5585,0,0.9772,0.8894,0.1256
08c35505-42fb-4390-b9d3-891ee8cc9be2,6579.21,0.3693,0.3231,0.09,3.7498,0,0.976,1.2684,0.1522
0929ff05-35e8-44e9-ad77-3840d9cd28d0,4955.81,0.4208,0.2823,0.13,3.0948,0,0.9791,1.586,0.1085
099332a2-9fac-4e42-ad53-cae9a746d114,8069.05,0.6016,1.4836,0.12,3.5912,0,0.9778,0.7797,0.1755
09ebb186-6db5-4840-b312-1fc680295de4,11116.72,0.2822,0.8924,0.11,2.9999,0,0.9776,0.9917,0.1375
0b436e02-308e-40ac-a0d1-830aecac5012,5603.52,0.4921,1.1123,0.08,2.9596,0,0.9805,0.3716,0.1115
0b844b92-ba18-4769-8c24-fc67e8d7bae2,24880.89,0.5079,0.5051,0.04,2.928,1,0.9814,0.8429,0.0864
0b93bc7e-54fe-4eb8-9327-433a926b7cd4,10456.29,0.538,0.272,0.1,3.7635,0,0.9818,1.0206,0.1247
0d23716a-9ea1-4215-8e0c-99d33641295d,7539.77,0.2888,1.1884,0.08,2.8674,0,0.98,0.8848,0.1054
0ea84fe5-e651-412c-87e5-8fbb9f83c9b8,24134.19,0.3874,0.4362,0.13,2.5202,1,0.9841,1.2415,0.0826
0f0f3ee9-74ee-414c-95a6-9a2461733e0c,12748.62,0.3445,0.6802,0.1,3.4286,0,0.9801,1.5714,0.1289
102fc619-2367-4730-a493-ff7277b79829,9986.89,0.492,0.2692,0.08,3.8061,0,1.8193,0.6857,0.1537
10b72286-075d-4258-babe-a45465beae68,5266.38,0.3759,0.2069,0.1,2.8357,0,0.9842,1.0566,0.09
110ed552-67a1-4067-963c-233eecd1c50b,26655.4,0.3161,0.5118,0.16,2.5774,1,0.978,1.1351,0.0934
112857eb-b9dd-45f6-87da-c4c38badde00,10174.11,0.2214,0.2018,0.03,3.4786,0,0.9778,1.1479,0.1078
1169ef15-27f4-4532-9bc8-3ffea2b3b0a0,19535.45,0.338,0.4552,0.06,3.0133,3,0.9769,0.6716,0.1078
119c20ab-3032-464e-be2f-33d7961e7b37,12065.66,0.4205,0.2722,0.1,2.5819,0,0.9801,0.9218,0.1337
11a5812a-b01f-4cbf-b10d-5437cd488c04,13651.49,0.3884,1.4887,0.06,2.6827,0,0.9808,0.9659,0.1057
11da680c-d4d9-4ac7-bf7a-dd88f1ba1cb7,5958.65,0.5982,1.0375,0.13,3.1293,0,0.972,0.8891,0.1848
126700ad-b1e4-4623-8a50-139e8323da76,25422.4,0.3943,0.7243,0.36,1.8042,1,0.9806,1.048,0.1044
127f7151-6cda-40a4-8301-d5f6ac617b94,16348.13,0.3161,0.7921,0.18,3.0584,0,0.7662,0.7955,0.144
1515a51c-1dcd-4d4f-a44d-e907bea7e93b,4683.59,0.4301,0.5962,0.1,3.7495,0,0.9781,0.8203,0.1618
17643d56-7ef9-4d2c-9fb5-58015fafb111,17334.73,0.423,0.7637,0.09,3.1511,0,0.9789,0.5559,0.1011
17a60ce1-c611-4b30-aa9e-1b76bb6c8c71,5522.2,0.4922,0.2755,0.25,3.1543,0,0.9706,1.4259,0.1895
17b1cf36-04d5-485d-81e9-0f17a4504409,15810.14,0.6271,0.7001,0.04,3.1197,1,0.9822,0.6505,0.161
17b88978-87f3-4c6b-a6f9-4bdde435fb73,17911.33,0.6519,0.433,0.61,1.9597,1,0.9758,2.7132,0.097
1899371b-77f5-4af6-81b9-fbe4c8925873,6883.07,0.3677,0.1284,0.07,4.0065,0,0.9811,1.5251,0.1399
